home_team_name,away_team_name,match_date,home_team_score,away_team_score,total_goals,is_knockout_stage,home_team_mean_goals,away_team_mean_goals,home_team_mean_conceded,away_team_mean_conceded
Switzerland,Mexico,1950-07-02,2,1,3,False,1.3414634146341464,1.0333333333333334,1.7804878048780488,1.6833333333333333
Brazil,Sweden,1950-07-09,7,1,8,False,2.0789473684210527,1.5686274509803921,0.9473684210526315,1.4313725490196079
Uruguay,Spain,1950-07-09,2,2,4,False,1.5084745762711864,1.6119402985074627,1.2881355932203389,1.1194029850746268
Brazil,Spain,1950-07-13,6,1,7,False,2.0789473684210527,1.6119402985074627,0.9473684210526315,1.1194029850746268
Uruguay,Sweden,1950-07-13,3,2,5,False,1.5084745762711864,1.5686274509803921,1.2881355932203389,1.4313725490196079
Sweden,Spain,1950-07-16,3,1,4,False,1.5686274509803921,1.6119402985074627,1.4313725490196079,1.1194029850746268
Uruguay,Brazil,1950-07-16,2,1,3,False,1.5084745762711864,2.0789473684210527,1.2881355932203389,0.9473684210526315
Brazil,Mexico,1954-06-16,5,0,5,False,2.0789473684210527,1.0333333333333334,0.9473684210526315,1.6833333333333333
Yugoslavia,France,1954-06-16,1,0,1,False,1.6216216216216217,1.8630136986301369,1.2432432432432432,1.1643835616438356
Austria,Scotland,1954-06-16,1,0,1,False,1.4827586206896552,1.0869565217391304,1.6206896551724137,1.7826086956521738
Uruguay,Czechia,1954-06-16,2,0,2,False,1.5084745762711864,1.4242424242424243,1.2881355932203389,1.4848484848484849
Switzerland,Italy,1954-06-17,2,1,3,False,1.3414634146341464,1.5421686746987953,1.7804878048780488,0.927710843373494
Hungary,South Korea,1954-06-17,9,0,9,False,2.71875,1.0263157894736843,1.78125,2.0526315789473686
West Germany,Türkiye,1954-06-17,4,1,5,False,2.1129032258064515,2.0,1.2419354838709677,1.7
England,Belgium,1954-06-17,4,4,8,False,1.4054054054054055,1.3529411764705883,0.918918918918919,1.4509803921568627
Uruguay,Scotland,1954-06-19,7,0,7,False,1.5084745762711864,1.0869565217391304,1.2881355932203389,1.7826086956521738
Brazil,Yugoslavia,1954-06-19,1,1,2,False,2.0789473684210527,1.6216216216216217,0.9473684210526315,1.2432432432432432
Austria,Czechia,1954-06-19,5,0,5,False,1.4827586206896552,1.4242424242424243,1.6206896551724137,1.4848484848484849
France,Mexico,1954-06-19,3,2,5,False,1.8630136986301369,1.0333333333333334,1.1643835616438356,1.6833333333333333
Hungary,West Germany,1954-06-20,8,3,11,False,2.71875,2.1129032258064515,1.78125,1.2419354838709677
Türkiye,South Korea,1954-06-20,7,0,7,False,2.0,1.0263157894736843,1.7,2.0526315789473686
